thinking_disorder,Signs,Differential_diagnosis,partial_mental_disorder,Disease,,
affective_disorder,Signs,Differential_diagnosis,partial_mental_disorder,Disease,,
Willing_and_behavioral_disorders,Signs,Differential_diagnosis,partial_mental_disorder,Disease,,
slow_thinking,Signs,Differential_diagnosis,partial_mental_disorder,Disease,,
Delusions_of_persecution,Signs,Differential_diagnosis,partial_mental_disorder,Disease,,
somatic_symptoms,Signs,Differential_diagnosis,partial_mental_disorder,Disease,,
thinking_disorder,Signs,Differential_diagnosis,partial_mental_disorder,Disease,,
affective_disorder,Signs,Differential_diagnosis,partial_mental_disorder,Disease,,
Willing_and_behavioral_disorders,Signs,Differential_diagnosis,partial_mental_disorder,Disease,,
slow_thinking,Signs,Differential_diagnosis,partial_mental_disorder,Disease,,
Delusions_of_persecution,Signs,Differential_diagnosis,partial_mental_disorder,Disease,,
101437703,Patient,Illness,bipolar_disorder,Disease,,
Bad_mood,Symptoms,Corresponds_to,Emotionally_unstable,Signs,,
impulse,Symptoms,Corresponds_to,Emotionally_unstable,Signs,,
Bad_mood,Symptoms,Corresponds_to,emotional_vulnerability,Signs,,
No_interest_or_energy_to_do_things,Symptoms,Corresponds_to,feeling_depressed,Signs,,
Reaction_is_half_a_beat_slow,Symptoms,Corresponds_to,Pay_attention_to_slowness,Signs,,
lack_of_concentration,Symptoms,Corresponds_to,Attention_is_distracted,Signs,,
excited,Symptoms,Corresponds_to,manic_arousal,Signs,,
Restless_and_hurtful,Symptoms,Corresponds_to,Aggressive_behavior,Signs,,
wake_up_early,Symptoms,Corresponds_to,sleep_disorder,Signs,,
Difficulty_falling_asleep,Symptoms,Corresponds_to,sleep_disorder,Signs,,
I_suspect_that_my_teacher_is_taking_revenge_on_me_for_not_attending_class.,Symptoms,Corresponds_to,Persecutory_delusions,Signs,,
Worried_about_the_teacher_recording_me,Symptoms,Corresponds_to,Persecutory_delusions,Signs,,
"Worried_that_I_might_hit_someone_else’s_car,_I_asked_the_traffic_police_to_record_the_video.",Symptoms,Corresponds_to,Persecutory_delusions,Signs,,
He_was_afraid_of_being_retaliated_against_and_asked_to_see_the_police_station_director.,Symptoms,Corresponds_to,Persecutory_delusions,Signs,,
"Later,_I_repeatedly_struggled_with_such_incidents,_always_worrying_that_I_had_done_something_wrong.",Symptoms,Corresponds_to,Persecutory_delusions,Signs,,
Vomit,Symptoms,Corresponds_to,somatic_symptoms,Signs,,
Food_and_drink,Symptoms,Corresponds_to,lack_of_will,Signs,,
Normal_defecation,Symptoms,Corresponds_to,lack_of_will,Signs,,
sleep_average,Symptoms,Corresponds_to,sleep_disorder,Signs,,
wake_up_early,Symptoms,Corresponds_to,sleep_disorder,Signs,,
No_significant_changes_in_weight_recently,Symptoms,Corresponds_to,Near-term_weight_disability,Signs,,
Bad_mood,Symptoms,Corresponds_to,emotional_vulnerability,Signs,,
No_interest_or_energy_to_do_things,Symptoms,Corresponds_to,lack_of_will,Signs,,
Reaction_is_half_a_beat_slow,Symptoms,Corresponds_to,Pay_attention_to_slowness,Signs,,
lack_of_concentration,Symptoms,Corresponds_to,Attention_is_distracted,Signs,,
excited,Symptoms,Corresponds_to,manic_arousal,Signs,,
Restless_and_hurtful,Symptoms,Corresponds_to,Aggressive_behavior,Signs,,
Difficulty_falling_asleep,Symptoms,Corresponds_to,sleep_disorder,Signs,,
I_suspect_that_my_teacher_is_taking_revenge_on_me_for_not_attending_class.,Symptoms,Corresponds_to,Persecutory_delusions,Signs,,
Worried_about_the_teacher_recording_me,Symptoms,Corresponds_to,Persecutory_delusions,Signs,,
"Worried_that_I_might_hit_someone_else’s_car,_I_asked_the_traffic_police_to_record_the_video.",Symptoms,Corresponds_to,Persecutory_delusions,Signs,,
He_was_afraid_of_being_retaliated_against_and_asked_to_see_the_police_station_director.,Symptoms,Corresponds_to,Persecutory_delusions,Signs,,
"Later,_I_repeatedly_struggled_with_such_incidents,_always_worrying_that_I_had_done_something_wrong.",Symptoms,Corresponds_to,Persecutory_delusions,Signs,,
No_forced_behavior,Symptoms,Corresponds_to,obsessive_intention,Signs,,
There_is_no_doubt_that_others_harm_oneself,Symptoms,Corresponds_to,Persecutory_delusions,Signs,,
No_headache,Symptoms,Corresponds_to,somatic_symptoms,Signs,,
No_cough_or_sputum,Symptoms,Corresponds_to,somatic_symptoms,Signs,,
No_fever,Symptoms,Corresponds_to,interoceptive_discomfort,Signs,,
No_chest_pain,Symptoms,Corresponds_to,somatic_symptoms,Signs,,
No_abdominal_pain_or_diarrhea,Symptoms,Corresponds_to,somatic_symptoms,Signs,,
No_significant_weight_loss_recently,Symptoms,Corresponds_to,Near-term_weight_disability,Signs,,
poor_appetite,Symptoms,Corresponds_to,dysphagia,Signs,,
Normal_defecation,Symptoms,Corresponds_to,lack_of_will,Signs,,
sleep_average,Symptoms,Corresponds_to,sleep_disorder,Signs,,
wake_up_early,Symptoms,Corresponds_to,sleep_disorder,Signs,,
No_significant_changes_in_weight_recently,Symptoms,Corresponds_to,Near-term_weight_disability,Signs,,
Clear_consciousness,Symptoms,Corresponds_to,disorder_of_consciousness,Signs,,
Correct_orientation,Symptoms,Corresponds_to,Disorientation,Signs,,
proactive_contact,Symptoms,Corresponds_to,Barriers_to_access,Signs,,
Insufficient_insight_(partial_insight),Symptoms,Corresponds_to,lack_of_insight,Signs,,
No_hallucinations_induced,Symptoms,Corresponds_to,Barriers_to_access,Signs,,
existential_delusions_of_relationship,Symptoms,Corresponds_to,Relationship_delusions,Signs,,
Delusions_of_persecution,Symptoms,Corresponds_to,Persecutory_delusions,Signs,,
self-blame,Symptoms,Corresponds_to,Delusion_of_self-blame,Signs,,
Depression,Symptoms,Corresponds_to,Depression,Signs,,
Loss_of_interest,Symptoms,Corresponds_to,anhedonia,Signs,,
anhedonia,Symptoms,Corresponds_to,anhedonia,Signs,,
Decreased_volitional_behavior,Symptoms,Corresponds_to,weakened_will,Signs,,
lack_of_concentration,Symptoms,Corresponds_to,Attention_is_distracted,Signs,,
Morning_is_heavy_and_evening_is_light,Symptoms,Corresponds_to,ambivalence,Signs,,
poor_food_and_nutrition,Symptoms,Corresponds_to,dysphagia,Signs,,
sleep_average,Symptoms,Corresponds_to,sleep_disorder,Signs,,
wake_up_early,Symptoms,Corresponds_to,sleep_disorder,Signs,,
Depression,Symptoms,Corresponds_to,emotional_vulnerability,Signs,,
Decline_in_interest,Symptoms,Corresponds_to,Mental_state_disorders,Signs,,
Anhedonia,Symptoms,Corresponds_to,Mental_state_disorders,Signs,,
poor_appetite,Symptoms,Corresponds_to,dysphagia,Signs,,
Poor_sleep,Symptoms,Corresponds_to,sleep_disorder,Signs,,
Decline_of_memory,Symptoms,Corresponds_to,Memory_loss,Signs,,
Cant_concentrate,Symptoms,Corresponds_to,Attention_is_distracted,Signs,,
trying_to_hang,Symptoms,Corresponds_to,obsessive_intention,Signs,,
Tried_to_slit_wrists,Symptoms,Corresponds_to,obsessive_intention,Signs,,
Emotional_excitement,Symptoms,Corresponds_to,emotional_outburst,Signs,,
talkative,Symptoms,Corresponds_to,Anxiety,Signs,,
speak_fast,Symptoms,Corresponds_to,Approximate_answer,Signs,,
Spend_a_lot_of_money,Symptoms,Corresponds_to,Emotional_numbness,Signs,,
irritable,Symptoms,Corresponds_to,Irritability,Signs,,
Obvious_conflict_with_family_members,Symptoms,Corresponds_to,Irritability,Signs,,
Irregular_eating_habits,Symptoms,Corresponds_to,lack_of_will,Signs,,
Irregular_sleep,Symptoms,Corresponds_to,lack_of_will,Signs,,
Stressful,Symptoms,Corresponds_to,Anxiety,Signs,,
Delusion,Symptoms,Corresponds_to,thinking_disorder,Signs,,
Auditory_hallucinations,Symptoms,Corresponds_to,Phantom,Signs,,
B,Medication,treat,bipolar_disorder,Disease,,
Quetiapine,Medication,treat,bipolar_disorder,Disease,,
Olanzapine,Medication,treat,bipolar_disorder,Disease,,
Bad_mood,Symptoms,diagnosis,bipolar_disorder,Disease,,
impulse,Symptoms,diagnosis,bipolar_disorder,Disease,,
Bad_mood,Symptoms,diagnosis,bipolar_disorder,Disease,,
No_interest_or_energy_to_do_things,Symptoms,diagnosis,bipolar_disorder,Disease,,
Reaction_is_half_a_beat_slow,Symptoms,diagnosis,bipolar_disorder,Disease,,
lack_of_concentration,Symptoms,diagnosis,bipolar_disorder,Disease,,
excited,Symptoms,diagnosis,bipolar_disorder,Disease,,
Restless_and_hurtful,Symptoms,diagnosis,bipolar_disorder,Disease,,
wake_up_early,Symptoms,diagnosis,bipolar_disorder,Disease,,
Difficulty_falling_asleep,Symptoms,diagnosis,bipolar_disorder,Disease,,
I_suspect_that_my_teacher_is_taking_revenge_on_me_for_not_attending_class.,Symptoms,diagnosis,bipolar_disorder,Disease,,
Worried_about_the_teacher_recording_me,Symptoms,diagnosis,bipolar_disorder,Disease,,
"Worried_that_I_might_hit_someone_else’s_car,_I_asked_the_traffic_police_to_record_the_video.",Symptoms,diagnosis,bipolar_disorder,Disease,,
He_was_afraid_of_being_retaliated_against_and_asked_to_see_the_police_station_director.,Symptoms,diagnosis,bipolar_disorder,Disease,,
"Later,_I_repeatedly_struggled_with_such_incidents,_always_worrying_that_I_had_done_something_wrong.",Symptoms,diagnosis,bipolar_disorder,Disease,,
Vomit,Symptoms,diagnosis,bipolar_disorder,Disease,,
Food_and_drink,Symptoms,diagnosis,bipolar_disorder,Disease,,
Normal_defecation,Symptoms,diagnosis,bipolar_disorder,Disease,,
sleep_average,Symptoms,diagnosis,bipolar_disorder,Disease,,
wake_up_early,Symptoms,diagnosis,bipolar_disorder,Disease,,
Bad_mood,Symptoms,diagnosis,bipolar_disorder,Disease,,
No_interest_or_energy_to_do_things,Symptoms,diagnosis,bipolar_disorder,Disease,,
Reaction_is_half_a_beat_slow,Symptoms,diagnosis,bipolar_disorder,Disease,,
lack_of_concentration,Symptoms,diagnosis,bipolar_disorder,Disease,,
excited,Symptoms,diagnosis,bipolar_disorder,Disease,,
Restless_and_hurtful,Symptoms,diagnosis,bipolar_disorder,Disease,,
Difficulty_falling_asleep,Symptoms,diagnosis,bipolar_disorder,Disease,,
I_suspect_that_my_teacher_is_taking_revenge_on_me_for_not_attending_class.,Symptoms,diagnosis,bipolar_disorder,Disease,,
Worried_about_the_teacher_recording_me,Symptoms,diagnosis,bipolar_disorder,Disease,,
"Worried_that_I_might_hit_someone_else’s_car,_I_asked_the_traffic_police_to_record_the_video.",Symptoms,diagnosis,bipolar_disorder,Disease,,
He_was_afraid_of_being_retaliated_against_and_asked_to_see_the_police_station_director.,Symptoms,diagnosis,bipolar_disorder,Disease,,
"Later,_I_repeatedly_struggled_with_such_incidents,_always_worrying_that_I_had_done_something_wrong.",Symptoms,diagnosis,bipolar_disorder,Disease,,
poor_appetite,Symptoms,diagnosis,bipolar_disorder,Disease,,
Normal_defecation,Symptoms,diagnosis,bipolar_disorder,Disease,,
sleep_average,Symptoms,diagnosis,bipolar_disorder,Disease,,
wake_up_early,Symptoms,diagnosis,bipolar_disorder,Disease,,
Clear_consciousness,Symptoms,diagnosis,bipolar_disorder,Disease,,
Correct_orientation,Symptoms,diagnosis,bipolar_disorder,Disease,,
proactive_contact,Symptoms,diagnosis,bipolar_disorder,Disease,,
Insufficient_insight_(partial_insight),Symptoms,diagnosis,bipolar_disorder,Disease,,
No_hallucinations_induced,Symptoms,diagnosis,bipolar_disorder,Disease,,
existential_delusions_of_relationship,Symptoms,diagnosis,bipolar_disorder,Disease,,
Delusions_of_persecution,Symptoms,diagnosis,bipolar_disorder,Disease,,
self-blame,Symptoms,diagnosis,bipolar_disorder,Disease,,
Depression,Symptoms,diagnosis,bipolar_disorder,Disease,,
Loss_of_interest,Symptoms,diagnosis,bipolar_disorder,Disease,,
anhedonia,Symptoms,diagnosis,bipolar_disorder,Disease,,
Decreased_volitional_behavior,Symptoms,diagnosis,bipolar_disorder,Disease,,
lack_of_concentration,Symptoms,diagnosis,bipolar_disorder,Disease,,
Morning_is_heavy_and_evening_is_light,Symptoms,diagnosis,bipolar_disorder,Disease,,
poor_food_and_nutrition,Symptoms,diagnosis,bipolar_disorder,Disease,,
sleep_average,Symptoms,diagnosis,bipolar_disorder,Disease,,
wake_up_early,Symptoms,diagnosis,bipolar_disorder,Disease,,
Depression,Symptoms,diagnosis,bipolar_disorder,Disease,,
Decline_in_interest,Symptoms,diagnosis,bipolar_disorder,Disease,,
Anhedonia,Symptoms,diagnosis,bipolar_disorder,Disease,,
poor_appetite,Symptoms,diagnosis,bipolar_disorder,Disease,,
Poor_sleep,Symptoms,diagnosis,bipolar_disorder,Disease,,
Decline_of_memory,Symptoms,diagnosis,bipolar_disorder,Disease,,
Cant_concentrate,Symptoms,diagnosis,bipolar_disorder,Disease,,
trying_to_hang,Symptoms,diagnosis,bipolar_disorder,Disease,,
Tried_to_slit_wrists,Symptoms,diagnosis,bipolar_disorder,Disease,,
Emotional_excitement,Symptoms,diagnosis,bipolar_disorder,Disease,,
talkative,Symptoms,diagnosis,bipolar_disorder,Disease,,
speak_fast,Symptoms,diagnosis,bipolar_disorder,Disease,,
Spend_a_lot_of_money,Symptoms,diagnosis,bipolar_disorder,Disease,,
irritable,Symptoms,diagnosis,bipolar_disorder,Disease,,
Obvious_conflict_with_family_members,Symptoms,diagnosis,bipolar_disorder,Disease,,
Irregular_eating_habits,Symptoms,diagnosis,bipolar_disorder,Disease,,
Irregular_sleep,Symptoms,diagnosis,bipolar_disorder,Disease,,
Stressful,Symptoms,main_diagnosis,bipolar_disorder,Disease,,
Delusion,Symptoms,Differential_diagnosis,ptsd,Disease,,
Auditory_hallucinations,Symptoms,Differential_diagnosis,ptsd,Disease,,
Delusion,Symptoms,Differential_diagnosis,Schizophrenia,Disease,,
Auditory_hallucinations,Symptoms,Differential_diagnosis,Schizophrenia,Disease,,
"It_has_seriously_affected_the_patients_normal_life_and_study,_and_he_has_been_suspended_from_school_and_is_at_home.",social_function,diagnosis,bipolar_disorder,Disease,,
Emotionally_unstable,Signs,diagnosis,bipolar_disorder,Disease,,
Emotionally_unstable,Signs,diagnosis,bipolar_disorder,Disease,,
emotional_vulnerability,Signs,diagnosis,bipolar_disorder,Disease,,
feeling_depressed,Signs,diagnosis,bipolar_disorder,Disease,,
Pay_attention_to_slowness,Signs,diagnosis,bipolar_disorder,Disease,,
Attention_is_distracted,Signs,diagnosis,bipolar_disorder,Disease,,
manic_arousal,Signs,diagnosis,bipolar_disorder,Disease,,
aggressive_behavior,Signs,diagnosis,bipolar_disorder,Disease,,
sleep_disorder,Signs,diagnosis,bipolar_disorder,Disease,,
sleep_disorder,Signs,diagnosis,bipolar_disorder,Disease,,
Delusions_of_persecution,Signs,diagnosis,bipolar_disorder,Disease,,
Delusions_of_persecution,Signs,diagnosis,bipolar_disorder,Disease,,
Delusions_of_persecution,Signs,diagnosis,bipolar_disorder,Disease,,
Delusions_of_persecution,Signs,diagnosis,bipolar_disorder,Disease,,
Delusions_of_persecution,Signs,diagnosis,bipolar_disorder,Disease,,
somatic_symptoms,Signs,diagnosis,bipolar_disorder,Disease,,
lack_of_will_disorder,Signs,diagnosis,bipolar_disorder,Disease,,
lack_of_will_disorder,Signs,diagnosis,bipolar_disorder,Disease,,
sleep_disorder,Signs,diagnosis,bipolar_disorder,Disease,,
sleep_disorder,Signs,diagnosis,bipolar_disorder,Disease,,
emotional_vulnerability,Signs,diagnosis,bipolar_disorder,Disease,,
lack_of_will,Signs,diagnosis,bipolar_disorder,Disease,,
Pay_attention_to_slowness,Signs,diagnosis,bipolar_disorder,Disease,,
Attention_is_distracted,Signs,diagnosis,bipolar_disorder,Disease,,
manic_arousal,Signs,diagnosis,bipolar_disorder,Disease,,
aggressive_behavior,Signs,diagnosis,bipolar_disorder,Disease,,
sleep_disorder,Signs,diagnosis,bipolar_disorder,Disease,,
Delusions_of_persecution,Signs,diagnosis,bipolar_disorder,Disease,,
Delusions_of_persecution,Signs,diagnosis,bipolar_disorder,Disease,,
Delusions_of_persecution,Signs,diagnosis,bipolar_disorder,Disease,,
Delusions_of_persecution,Signs,diagnosis,bipolar_disorder,Disease,,
Delusions_of_persecution,Signs,diagnosis,bipolar_disorder,Disease,,
dysphagia,Signs,diagnosis,bipolar_disorder,Disease,,
lack_of_will_disorder,Signs,diagnosis,bipolar_disorder,Disease,,
sleep_disorder,Signs,diagnosis,bipolar_disorder,Disease,,
sleep_disorder,Signs,diagnosis,bipolar_disorder,Disease,,
disorder_of_consciousness,Signs,diagnosis,bipolar_disorder,Disease,,
Disorientation,Signs,diagnosis,bipolar_disorder,Disease,,
access_barriers,Signs,diagnosis,bipolar_disorder,Disease,,
lack_of_insight,Signs,diagnosis,bipolar_disorder,Disease,,
access_barriers,Signs,diagnosis,bipolar_disorder,Disease,,
relationship_delusions,Signs,diagnosis,bipolar_disorder,Disease,,
Delusions_of_persecution,Signs,diagnosis,bipolar_disorder,Disease,,
Delusions_of_self-blame,Signs,diagnosis,bipolar_disorder,Disease,,
Depression,Signs,diagnosis,bipolar_disorder,Disease,,
Anhedonia_(decreased_interest),Signs,diagnosis,bipolar_disorder,Disease,,
Anhedonia_(decreased_interest),Signs,diagnosis,bipolar_disorder,Disease,,
weakened_will,Signs,diagnosis,bipolar_disorder,Disease,,
Attention_is_distracted,Signs,diagnosis,bipolar_disorder,Disease,,
ambivalence,Signs,diagnosis,bipolar_disorder,Disease,,
dysphagia,Signs,diagnosis,bipolar_disorder,Disease,,
sleep_disorder,Signs,diagnosis,bipolar_disorder,Disease,,
sleep_disorder,Signs,diagnosis,bipolar_disorder,Disease,,
emotional_vulnerability,Signs,diagnosis,bipolar_disorder,Disease,,
mental_state_disorder,Signs,diagnosis,bipolar_disorder,Disease,,
mental_state_disorder,Signs,diagnosis,bipolar_disorder,Disease,,
dysphagia,Signs,diagnosis,bipolar_disorder,Disease,,
sleep_disorder,Signs,diagnosis,bipolar_disorder,Disease,,
memory_loss,Signs,diagnosis,bipolar_disorder,Disease,,
Attention_is_distracted,Signs,diagnosis,bipolar_disorder,Disease,,
obsessive_intention,Signs,diagnosis,bipolar_disorder,Disease,,
obsessive_intention,Signs,diagnosis,bipolar_disorder,Disease,,
emotional_outburst,Signs,diagnosis,bipolar_disorder,Disease,,
Anxiety,Signs,diagnosis,bipolar_disorder,Disease,,
Approximate_answer,Signs,diagnosis,bipolar_disorder,Disease,,
Emotional_numbness,Signs,diagnosis,bipolar_disorder,Disease,,
Irritability,Signs,diagnosis,bipolar_disorder,Disease,,
Irritability,Signs,diagnosis,bipolar_disorder,Disease,,
lack_of_will,Signs,diagnosis,bipolar_disorder,Disease,,
lack_of_will,Signs,diagnosis,bipolar_disorder,Disease,,
Anxiety,Signs,main_diagnosis,bipolar_disorder,Disease,,
thinking_disorder,Signs,Differential_diagnosis,ptsd,Disease,,
Auditory_hallucinations,Signs,Differential_diagnosis,ptsd,Disease,,
thinking_disorder,Signs,Differential_diagnosis,Schizophrenia,Disease,,
Auditory_hallucinations,Signs,Differential_diagnosis,Schizophrenia,Disease,,
101437884,Patient,Illness,obsessive-compulsive_disorder,Disease,,
Repeatedly_unable_to_control_worry,Symptoms,Corresponds_to,Emotionally_unstable,Signs,,
Unable_to_control_myself_and_worry_about_making_mistakes_while_working,Symptoms,Corresponds_to,obsessive_thinking,Signs,,
Double_check_accounts,Symptoms,Corresponds_to,obsessive_thinking,Signs,,
Don’t_dare_to_have_contact_with_the_opposite_sex,Symptoms,Corresponds_to,Imposed_emotions,Signs,,
"When_encountering_a_manhole_cover_in_a_high_place_or_on_the_road,_you_are_afraid_that_you_will_push_others_down_or_that_others_will_accidentally_fall_in.",Symptoms,Corresponds_to,obsessive_thinking,Signs,,
"When_I_see_a_kitchen_knife,_I_am_afraid_that_I_will_pick_it_up_and_kill_someone.",Symptoms,Corresponds_to,obsessive_thinking,Signs,,
Worry_about_whether_there_are_any_errors_in_the_contract_when_the_unit_is_being_demolished,Symptoms,Corresponds_to,obsessive_thinking,Signs,,
"When_I_go_out_and_see_the_manhole_cover,_I_am_afraid_that_a_child_will_fall_in.",Symptoms,Corresponds_to,obsessive_thinking,Signs,,
Check_the_manhole_repeatedly,Symptoms,Corresponds_to,obsessive_thinking,Signs,,
low_mood,Symptoms,Corresponds_to,Depression,Signs,,
glum,Symptoms,Corresponds_to,Depression,Signs,,
No_interest_in_doing_things,Symptoms,Corresponds_to,Depression,Signs,,
Feeling_uncomfortable_throughout_the_day,Symptoms,Corresponds_to,obsessive_thinking,Signs,,
Uncontrollable_doubts_and_worries_that_you_know_are_unnecessary_but_uncontrollable,Symptoms,Corresponds_to,Delusions_of_grandeur,Signs,,
Obsessions,Symptoms,Corresponds_to,obsessive_thinking,Signs,,
forced_doubt,Symptoms,Corresponds_to,obsessive_thinking,Signs,,
obsessive_intention,Symptoms,Corresponds_to,obsessive_thinking,Signs,,
Feeling_depressed_when_in_pain,Symptoms,Corresponds_to,Depression,Signs,,
Anxiety,Symptoms,Corresponds_to,Anxiety,Signs,,
Flustered,Symptoms,Corresponds_to,somatic_symptoms,Signs,,
Chest_tightness,Symptoms,Corresponds_to,somatic_symptoms,Signs,,
Body_shaking,Symptoms,Corresponds_to,somatic_symptoms,Signs,,
Obsessive_thoughts_that_you_know_are_unnecessary_and_try_to_ignore_or_suppress_but_cannot_get_rid_of,Symptoms,Corresponds_to,obsessive_thinking,Signs,,
obsessive_thinking,Symptoms,Corresponds_to,obsessive_thinking,Signs,,
forced_doubt,Symptoms,Corresponds_to,obsessive_thinking,Signs,,
obsessive_intention,Symptoms,Corresponds_to,obsessive_thinking,Signs,,
Obsessions,Symptoms,Corresponds_to,obsessive_thinking,Signs,,
Anti-coercion,Symptoms,Corresponds_to,obsessive_thinking,Signs,,
somatic_anxiety,Symptoms,Corresponds_to,somatic_symptoms,Signs,,
Focus_mostly_on_practical_issues_of_daily_life,Symptoms,Corresponds_to,Answering_obstacles,Signs,,
Worry_stems_from_the_perception_of_threats_from_the_outside_world,Symptoms,Corresponds_to,Phantom,Signs,,
Think_your_worries_are_inappropriate,Symptoms,Corresponds_to,Anxiety,Signs,,
There_is_a_definite_place_of_fear,Symptoms,Corresponds_to,emotional_outburst,Signs,,
There_is_avoidance_behavior,Symptoms,Corresponds_to,Emotional_discomfort,Signs,,
Fluvoxamine,Medication,treat,obsessive-compulsive_disorder,Disease,,
Sertraline,Medication,treat,obsessive-compulsive_disorder,Disease,,
Lorazepam,Medication,treat,obsessive-compulsive_disorder,Disease,,
Alprazolam,Medication,treat,obsessive-compulsive_disorder,Disease,,
Quetiapine_fumarate,Medication,treat,obsessive-compulsive_disorder,Disease,,
Repeatedly_unable_to_control_worry,Symptoms,diagnosis,obsessive-compulsive_disorder,Disease,,
Unable_to_control_myself_and_worry_about_making_mistakes_while_working,Symptoms,diagnosis,obsessive-compulsive_disorder,Disease,,
Double_check_accounts,Symptoms,diagnosis,obsessive-compulsive_disorder,Disease,,
Don’t_dare_to_have_contact_with_the_opposite_sex,Symptoms,diagnosis,obsessive-compulsive_disorder,Disease,,
"When_encountering_a_manhole_cover_in_a_high_place_or_on_the_road,_you_are_afraid_that_you_will_push_others_down_or_that_others_will_accidentally_fall_in.",Symptoms,diagnosis,obsessive-compulsive_disorder,Disease,,
"When_I_see_a_kitchen_knife,_I_am_afraid_that_I_will_pick_it_up_and_kill_someone.",Symptoms,diagnosis,obsessive-compulsive_disorder,Disease,,
"When_I_go_out_and_see_the_manhole_cover,_I_am_afraid_that_a_child_will_fall_in.",Symptoms,diagnosis,obsessive-compulsive_disorder,Disease,,
Check_the_manhole_repeatedly,Symptoms,diagnosis,obsessive-compulsive_disorder,Disease,,
low_mood,Symptoms,diagnosis,obsessive-compulsive_disorder,Disease,,
glum,Symptoms,diagnosis,obsessive-compulsive_disorder,Disease,,
No_interest_in_doing_things,Symptoms,diagnosis,obsessive-compulsive_disorder,Disease,,
Feeling_uncomfortable_throughout_the_day,Symptoms,diagnosis,obsessive-compulsive_disorder,Disease,,
Obsessions,Symptoms,diagnosis,obsessive-compulsive_disorder,Disease,,
forced_doubt,Symptoms,diagnosis,obsessive-compulsive_disorder,Disease,,
obsessive_intention,Symptoms,diagnosis,obsessive-compulsive_disorder,Disease,,
Feeling_depressed_when_in_pain,Symptoms,diagnosis,obsessive-compulsive_disorder,Disease,,
Anxiety,Symptoms,diagnosis,obsessive-compulsive_disorder,Disease,,
Flustered,Symptoms,diagnosis,obsessive-compulsive_disorder,Disease,,
Chest_tightness,Symptoms,diagnosis,obsessive-compulsive_disorder,Disease,,
Body_shaking,Symptoms,diagnosis,obsessive-compulsive_disorder,Disease,,
obsessive_thinking,Symptoms,diagnosis,obsessive-compulsive_disorder,Disease,,
forced_doubt,Symptoms,diagnosis,obsessive-compulsive_disorder,Disease,,
obsessive_intention,Symptoms,diagnosis,obsessive-compulsive_disorder,Disease,,
Obsessions,Symptoms,main_diagnosis,obsessive-compulsive_disorder,Disease,,
Anti-coercion,Symptoms,main_diagnosis,obsessive-compulsive_disorder,Disease,,
somatic_anxiety,Symptoms,main_diagnosis,obsessive-compulsive_disorder,Disease,,
Focus_mostly_on_practical_issues_of_daily_life,Symptoms,Differential_diagnosis,Generalized_anxiety_disorder,Disease,,
Worry_stems_from_the_perception_of_threats_from_the_outside_world,Symptoms,Differential_diagnosis,Generalized_anxiety_disorder,Disease,,
Think_your_worries_are_inappropriate,Symptoms,Differential_diagnosis,Generalized_anxiety_disorder,Disease,,
There_is_a_definite_place_of_fear,Symptoms,Differential_diagnosis,Generalized_anxiety_disorder,Disease,,
There_is_avoidance_behavior,Symptoms,Differential_diagnosis,Generalized_anxiety_disorder,Disease,,
Focus_mostly_on_practical_issues_of_daily_life,Symptoms,Differential_diagnosis,phobia,Disease,,
Worry_stems_from_the_perception_of_threats_from_the_outside_world,Symptoms,Differential_diagnosis,phobia,Disease,,
Think_your_worries_are_inappropriate,Symptoms,Differential_diagnosis,phobia,Disease,,
There_is_a_definite_place_of_fear,Symptoms,Differential_diagnosis,phobia,Disease,,
There_is_avoidance_behavior,Symptoms,Differential_diagnosis,phobia,Disease,,
Seriously_affects_the_patients_normal_life_and_work,social_function,diagnosis,obsessive-compulsive_disorder,Disease,,
Emotionally_unstable,Signs,diagnosis,obsessive-compulsive_disorder,Disease,,
obsessive_thinking,Signs,diagnosis,obsessive-compulsive_disorder,Disease,,
obsessive_thinking,Signs,diagnosis,obsessive-compulsive_disorder,Disease,,
forced_emotions,Signs,diagnosis,obsessive-compulsive_disorder,Disease,,
obsessive_thinking,Signs,diagnosis,obsessive-compulsive_disorder,Disease,,
obsessive_thinking,Signs,diagnosis,obsessive-compulsive_disorder,Disease,,
obsessive_thinking,Signs,diagnosis,obsessive-compulsive_disorder,Disease,,
obsessive_thinking,Signs,diagnosis,obsessive-compulsive_disorder,Disease,,
Depression,Signs,diagnosis,obsessive-compulsive_disorder,Disease,,
Depression,Signs,diagnosis,obsessive-compulsive_disorder,Disease,,
Depression,Signs,diagnosis,obsessive-compulsive_disorder,Disease,,
obsessive_thinking,Signs,diagnosis,obsessive-compulsive_disorder,Disease,,
obsessive_thinking,Signs,diagnosis,obsessive-compulsive_disorder,Disease,,
obsessive_thinking,Signs,diagnosis,obsessive-compulsive_disorder,Disease,,
obsessive_thinking,Signs,diagnosis,obsessive-compulsive_disorder,Disease,,
Depression,Signs,diagnosis,obsessive-compulsive_disorder,Disease,,
Anxiety,Signs,diagnosis,obsessive-compulsive_disorder,Disease,,
somatic_symptoms,Signs,diagnosis,obsessive-compulsive_disorder,Disease,,
somatic_symptoms,Signs,diagnosis,obsessive-compulsive_disorder,Disease,,
somatic_symptoms,Signs,diagnosis,obsessive-compulsive_disorder,Disease,,
obsessive_thinking,Signs,diagnosis,obsessive-compulsive_disorder,Disease,,
